Count,Date
18.0,04.1996
9.0,05.1996
7.0,06.1996
0.0,07.1996
6.0,08.1996
7.0,09.1996
0.0,10.1996
1.0,11.1996
0.0,12.1996
0.0,01.1997
1.0,02.1997
1.0,03.1997
1.0,04.1997
41.0,05.1997
5.0,06.1997
1.0,07.1997
1.0,08.1997
2.0,09.1997
2.0,10.1997
0.0,11.1997
0.0,12.1997
0.0,01.1998
0.0,02.1998
1.0,03.1998
1.0,04.1998
22.0,05.1998
22.0,06.1998
2.0,07.1998
1.0,08.1998
3.0,09.1998
27.0,10.1998
4.0,11.1998
0.0,12.1998
0.0,01.1999
1.0,02.1999
6.0,03.1999
19.0,04.1999
90.0,05.1999
14.0,06.1999
0.0,07.1999
1.0,08.1999
2.0,09.1999
4.0,10.1999
5.0,11.1999
3.0,12.1999
0.0,01.2000
2.0,02.2000
15.0,03.2000
6.0,04.2000
11.0,05.2000
3.0,06.2000
0.0,07.2000
0.0,08.2000
0.0,09.2000
7.0,10.2000
0.0,11.2000
0.0,12.2000
0.0,01.2001
0.0,02.2001
0.0,03.2001
10.0,04.2001
25.0,05.2001
1.0,06.2001
0.0,07.2001
0.0,08.2001
6.0,09.2001
19.0,10.2001
0.0,11.2001
0.0,12.2001
0.0,01.2002
0.0,02.2002
0.0,03.2002
7.0,04.2002
7.0,05.2002
2.0,06.2002
0.0,07.2002
0.0,08.2002
2.0,09.2002
0.0,10.2002
0.0,11.2002
0.0,12.2002
0.0,01.2003
0.0,02.2003
4.0,03.2003
15.0,04.2003
59.0,05.2003
0.0,06.2003
0.0,07.2003
0.0,08.2003
0.0,09.2003
0.0,10.2003
0.0,11.2003
0.0,12.2003
0.0,01.2004
0.0,02.2004
12.0,03.2004
13.0,04.2004
26.0,05.2004
4.0,06.2004
0.0,07.2004
0.0,08.2004
0.0,09.2004
1.0,10.2004
6.0,11.2004
0.0,12.2004
0.0,01.2005
0.0,02.2005
8.0,03.2005
7.0,04.2005
0.0,05.2005
10.0,06.2005
0.0,07.2005
0.0,08.2005
1.0,09.2005
1.0,10.2005
0.0,11.2005
0.0,12.2005
0.0,01.2006
0.0,02.2006
7.0,03.2006
8.0,04.2006
4.0,05.2006
5.0,06.2006
0.0,07.2006
0.0,08.2006
3.0,09.2006
0.0,10.2006
0.0,11.2006
0.0,12.2006
0.0,01.2007
0.0,02.2007
6.0,03.2007
3.0,04.2007
29.0,05.2007
5.0,06.2007
1.0,07.2007
5.0,08.2007
0.0,09.2007
1.0,10.2007
0.0,11.2007
0.0,12.2007
4.0,01.2008
0.0,02.2008
13.0,03.2008
9.0,04.2008
42.0,05.2008
5.0,06.2008
0.0,07.2008
0.0,08.2008
2.0,09.2008
0.0,10.2008
1.0,11.2008
1.0,12.2008
0.0,01.2009
6.0,02.2009
1.0,03.2009
17.0,04.2009
4.0,05.2009
3.0,06.2009
0.0,07.2009
1.0,08.2009
0.0,09.2009
2.0,10.2009
0.0,11.2009
0.0,12.2009
0.0,01.2010
0.0,02.2010
2.0,03.2010
1.0,04.2010
91.0,05.2010
4.0,06.2010
1.0,07.2010
0.0,08.2010
3.0,09.2010
0.0,10.2010
0.0,11.2010
1.0,12.2010
0.0,01.2011
1.0,02.2011
0.0,03.2011
50.0,04.2011
46.0,05.2011
7.0,06.2011
0.0,07.2011
1.0,08.2011
3.0,09.2011
0.0,10.2011
11.0,11.2011
0.0,12.2011
0.0,01.2012
0.0,02.2012
5.0,03.2012
54.0,04.2012
3.0,05.2012
0.0,06.2012
0.0,07.2012
0.0,08.2012
0.0,09.2012
1.0,10.2012
0.0,11.2012
0.0,12.2012
2.0,01.2013
0.0,02.2013
2.0,03.2013
12.0,04.2013
63.0,05.2013
0.0,06.2013
2.0,07.2013
1.0,08.2013
0.0,09.2013
0.0,10.2013
0.0,11.2013
0.0,12.2013
0.0,01.2014
0.0,02.2014
0.0,03.2014
4.0,04.2014
4.0,05.2014
5.0,06.2014
0.0,07.2014
0.0,08.2014
1.0,09.2014
1.0,10.2014
0.0,11.2014
1.0,12.2014
0.0,01.2015
0.0,02.2015
7.0,03.2015
5.0,04.2015
83.0,05.2015
1.0,06.2015
3.0,07.2015
0.0,08.2015
0.0,09.2015
0.0,10.2015
9.0,11.2015
3.0,12.2015
0.0,01.2016
0.0,02.2016
5.0,03.2016
28.0,04.2016
24.0,05.2016
0.0,06.2016
1.0,07.2016
0.0,08.2016
0.0,09.2016
0.0,10.2016
0.0,11.2016
0.0,12.2016
0.0,01.2017
0.0,02.2017
3.0,03.2017
10.0,04.2017
57.0,05.2017
2.0,06.2017
0.0,07.2017
4.0,08.2017
0.0,09.2017
9.0,10.2017
0.0,11.2017
0.0,12.2017
0.0,01.2018
0.0,02.2018
0.0,03.2018
0.0,04.2018
23.0,05.2018
2.0,06.2018
0.0,07.2018
2.0,08.2018
0.0,09.2018
12.0,10.2018
4.0,11.2018
0.0,12.2018
0.0,01.2019
0.0,02.2019
0.0,03.2019
22.0,04.2019
105.0,05.2019
11.0,06.2019
0.0,07.2019
3.0,08.2019
0.0,09.2019
6.0,10.2019
0.0,11.2019
2.0,12.2019
3.0,01.2020
0.0,02.2020
2.0,03.2020
15.0,04.2020
16.0,05.2020
0.0,06.2020
1.0,07.2020
0.0,08.2020
0.0,09.2020
0.0,10.2020
2.0,11.2020
0.0,12.2020
4.0,01.2021
0.0,02.2021
3.0,03.2021
5.0,04.2021
11.0,05.2021
1.0,06.2021
1.0,07.2021
0.0,08.2021
0.0,09.2021
34.0,10.2021
4.0,11.2021
0.0,12.2021
0.0,01.2022
0.0,02.2022
6.0,03.2022
7.0,04.2022
28.0,05.2022
0.0,06.2022
1.0,07.2022
0.0,08.2022
0.0,09.2022
2.0,10.2022
6.0,11.2022
8.0,12.2022
5.0,01.2023
13.0,02.2023
2.0,03.2023
18.0,04.2023
15.0,05.2023
18.0,06.2023
1.0,07.2023
0.0,08.2023
0.0,09.2023
2.0,10.2023
0.0,11.2023
0.0,12.2023
